Variable,Importance_Selectkbest,Importance_ElasticNet,Importance_XGBoost,Importance_RandomForest,Suma_Importances,Total_imp
Censo_porc_pob_mujeres_25_29,0.00586173936745103,,0.0025430976,0.0011697546253756396,0.009574591587579576,0.0031915305202606776
Censo_porc_pob_mujeres_30_34,0.004245761836953126,,0.0018839333,0.0009418077669607433,0.0070715029245553875,0.0023571676349211784
Censo_porc_pob_mujeres_35_39,0.0041269650464367084,,0.0026114848,0.001196336899267565,0.00793478678994184,0.0026449289225779376
Desp_General_variacion_intercensal_2005_2018,0.0005648277065859648,,0.0029732292,0.0014344964605091384,0.004972553325764813,0.0016575177706158464
Desempeno_Acceso_servicios_publicos,0.002662923752638352,,0.00020363161,0.0008669215493305271,0.003733476916536591,0.001244492302029089
Desempeno_Educacion,0.0009100449660454383,,0.0046537165,0.000896117645723263,0.00645987907163904,0.002153293017853004
Desempeno_Ejecucion_recursos,8.687582128637084e-05,,0.002533372,0.001485344750705878,0.004105592597929091,0.0013685308621460943
Desempeno_Gobierno_abierto_transparencia,0.0011475103771984936,,0.001434892,0.001071270826704131,0.0036536731542417037,0.0012178910480052454
Desempeno_Promedio_ejecucion_recursos_grupo_DI,0.0003962808052409462,,0.00052714103,0.00012016973775304654,0.001043591576665789,0.00034786385791498863
Desempeno_Recaudo_instrumentos_ordenamiento_territorial,0.005243685708959625,,0.0064303707,0.0012059501186672313,0.012880006560768755,0.004293335508239985
Desempeno_Salud,0.00139645240333464,,0.006610419,0.0011246201466461343,0.009131491685521497,0.0030438305533213705
Desempeno_Seguridad,0.005298688229704989,,0.00097379676,0.0011479677448255111,0.007420452737522196,0.002473484238917899
Economia_2do_cultivo_permanente_ton_prod,0.000954496774928914,,0.00097001233,0.0004818421485622916,0.002406351257200952,0.0008021170834886707
Economia_2do_cultivo_transitorio_ton_prod,0.00029185179554592106,,0.0006277421,0.0008515965597290042,0.0017711904460030593,0.0005903968136819396
Economia_3er_cultivo_transitorio_ton_prod,0.0004235182633292765,,0.0016085955,0.0007282976202954853,0.002760411368492454,0.0009201371202555213
Economia_PIB_dept_demas_cultivos_permanentes,0.0005094026627236917,,0.0023089622,0.0005457013166282685,0.0033640661475239624,0.0011213553793695174
Economia_PIB_dept_primer_cultivo_permanente,0.0004302058609537061,,0.0016192141,0.0009089984084624044,0.002958418345033603,0.000986139445584509
Economia_PIB_dept_primer_cultivo_transitorio,0.0005560219155891608,,0.001939191,0.0009493425039327044,0.0034445554368217556,0.0011481851423936903
Economia_PIB_dept_segundo_cultivo_permanente,0.00013019063641496467,,0.0025102217,0.0013628436340280615,0.004003255945481364,0.0013344186447589927
Economia_PIB_dept_segundo_cultivo_transitorio,0.00020771120290978779,,0.002094278,0.0012109334092356386,0.0035129227241992977,0.0011709742381224217
Economia_PIB_dept_tercer_cultivo_permanente,9.155284302569265e-05,,0.004124631,0.0010737372394907338,0.005289921256425137,0.0017633070805398692
Economia_PIB_dept_tercer_cultivo_transitorio,6.55750407471432e-05,,0.0016318534,0.0011083711214972612,0.002805799565767969,0.0009352665193050151
Economia_PIB_municipal_actividades_primarias,0.0007060547406547346,,0.003812499,0.0008181994119100503,0.0053367532640830485,0.0017789177497154818
Economia_Pct_UPA_acceso_asistencia,0.00015982739822050014,,0.0047827368,0.0006548888047940797,0.0055974529700979865,0.0018658176514772442
Economia_Pct_UPA_acceso_credito,0.0004653899213221636,,0.0019845245,0.0006909890418202437,0.0031409035037455683,0.0010469678316515833
Economia_Pct_UPA_acceso_infraestructura,0.0006324084680227722,,0.0040053274,0.0008712001905860979,0.005508936013725476,0.001836311999435655
Economia_Pct_UPA_acceso_maquinaria,0.0005258374063832559,,0.0025475773,0.0009782387763801464,0.004051653439100211,0.0013505511425867896
Economia_Pct_UPA_acceso_riego,1.9455738044719624e-05,,0.014512283,0.0011278741230612277,0.015659612657310036,0.005219870871160542
